Date,Series_title_1,Data_value
2024-04-01,"Cheese - mild cheddar (supermarket only), 1kg",10.01
2024-05-01,"Cheese - mild cheddar (supermarket only), 1kg",10.02
2024-06-01,"Cheese - mild cheddar (supermarket only), 1kg",10.03
2024-07-01,"Cheese - mild cheddar (supermarket only), 1kg",10.05
2024-08-01,"Cheese - mild cheddar (supermarket only), 1kg",10.21
2024-09-01,"Cheese - mild cheddar (supermarket only), 1kg",9.75
2024-03-01,"Eggs, dozen",9.28
2024-04-01,"Eggs, dozen",9.17
2024-05-01,"Eggs, dozen",8.89
2024-06-01,"Eggs, dozen",9.41
2024-07-01,"Eggs, dozen",8.65
2024-08-01,"Eggs, dozen",8.92
2024-09-01,"Eggs, dozen",8.86
2024-03-01,"Butter - salted, 500g",4.48
2024-04-01,"Butter - salted, 500g",4.49
2024-05-01,"Butter - salted, 500g",5.57
2024-06-01,"Butter - salted, 500g",5.87
2024-07-01,"Butter - salted, 500g",6.04
2024-08-01,"Butter - salted, 500g",6.51
2024-09-01,"Butter - salted, 500g",6.62
2024-03-01,"Sugar - white, 1.5kg",3.4
2024-04-01,"Sugar - white, 1.5kg",3.41
2024-05-01,"Sugar - white, 1.5kg",3.4
2024-06-01,"Sugar - white, 1.5kg",3.39
2024-07-01,"Sugar - white, 1.5kg",3.4
2024-08-01,"Sugar - white, 1.5kg",3.38
2024-09-01,"Sugar - white, 1.5kg",3.33
2024-03-01,"Chocolate - block (supermarket only), 250g",5.15
2024-04-01,"Chocolate - block (supermarket only), 250g",5.43
2024-05-01,"Chocolate - block (supermarket only), 250g",5.21
2024-06-01,"Chocolate - block (supermarket only), 250g",5.46
2024-07-01,"Chocolate - block (supermarket only), 250g",5.58
2024-08-01,"Chocolate - block (supermarket only), 250g",5.56
2024-09-01,"Chocolate - block (supermarket only), 250g",5.31
2024-03-01,"Spaghetti - canned, 420g",2.2
2024-04-01,"Spaghetti - canned, 420g",2.15
2024-05-01,"Spaghetti - canned, 420g",2.14
2024-06-01,"Spaghetti - canned, 420g",2.04
2024-07-01,"Spaghetti - canned, 420g",2.18
2024-08-01,"Spaghetti - canned, 420g",2.05
2024-09-01,"Spaghetti - canned, 420g",1.94
2024-03-01,"Coffee - instant, 100g",6.93
2024-04-01,"Coffee - instant, 100g",6.77
2024-05-01,"Coffee - instant, 100g",6.76
2024-06-01,"Coffee - instant, 100g",7.02
2024-07-01,"Coffee - instant, 100g",6.58
2024-08-01,"Coffee - instant, 100g",6.79
